generations,characters,branch_edit_frac,iteration
1,2,0.7,0
2,3,0.7,0
3,4,0.7,0
4,6,0.7,0
5,7,0.7,0
6,8,0.7,0
7,8,0.7,0
8,10,0.7,0
9,11,0.7,0
10,13,0.7,0
11,16,0.7,0
12,17,0.7,0
13,19,0.7,0
14,19,0.7,0
15,22,0.7,0
16,22,0.7,0
17,25,0.7,0
18,26,0.7,0
19,29,0.7,0
20,29,0.7,0
21,31,0.7,0
22,32,0.7,0
23,34,0.7,0
24,36,0.7,0
25,37,0.7,0
26,39,0.7,0
27,41,0.7,0
28,42,0.7,0
29,43,0.7,0
30,46,0.7,0
1,3,0.8,0
2,4,0.8,0
3,6,0.8,0
4,7,0.8,0
5,8,0.8,0
6,9,0.8,0
7,11,0.8,0
8,14,0.8,0
9,16,0.8,0
10,19,0.8,0
11,21,0.8,0
12,24,0.8,0
13,27,0.8,0
14,27,0.8,0
15,30,0.8,0
16,30,0.8,0
17,34,0.8,0
18,38,0.8,0
19,39,0.8,0
20,41,0.8,0
21,43,0.8,0
22,43,0.8,0
23,47,0.8,0
24,47,0.8,0
25,50,0.8,0
26,52,0.8,0
27,55,0.8,0
28,59,0.8,0
29,62,0.8,0
30,66,0.8,0
1,3,0.9,0
2,6,0.9,0
3,7,0.9,0
4,10,0.9,0
5,12,0.9,0
6,15,0.9,0
7,15,0.9,0
8,22,0.9,0
9,24,0.9,0
10,27,0.9,0
11,31,0.9,0
12,32,0.9,0
13,35,0.9,0
14,42,0.9,0
15,43,0.9,0
16,48,0.9,0
17,52,0.9,0
18,53,0.9,0
19,54,0.9,0
20,59,0.9,0
21,62,0.9,0
22,62,0.9,0
23,65,0.9,0
24,65,0.9,0
25,79,0.9,0
26,85,0.9,0
27,86,0.9,0
28,90,0.9,0
29,90,0.9,0
30,102,0.9,0
1,2,0.7,1
2,3,0.7,1
3,4,0.7,1
4,5,0.7,1
5,6,0.7,1
6,8,0.7,1
7,9,0.7,1
8,10,0.7,1
9,10,0.7,1
10,12,0.7,1
11,13,0.7,1
12,16,0.7,1
13,18,0.7,1
14,20,0.7,1
15,21,0.7,1
16,23,0.7,1
17,23,0.7,1
18,26,0.7,1
19,27,0.7,1
20,29,0.7,1
21,30,0.7,1
22,31,0.7,1
23,32,0.7,1
24,36,0.7,1
25,37,0.7,1
26,39,0.7,1
27,42,0.7,1
28,44,0.7,1
29,44,0.7,1
30,46,0.7,1
1,2,0.8,1
2,4,0.8,1
3,5,0.8,1
4,7,0.8,1
5,8,0.8,1
6,9,0.8,1
7,11,0.8,1
8,13,0.8,1
9,13,0.8,1
10,18,0.8,1
11,21,0.8,1
12,23,0.8,1
13,26,0.8,1
14,27,0.8,1
15,29,0.8,1
16,31,0.8,1
17,34,0.8,1
18,34,0.8,1
19,38,0.8,1
20,39,0.8,1
21,43,0.8,1
22,45,0.8,1
23,49,0.8,1
24,51,0.8,1
25,54,0.8,1
26,56,0.8,1
27,58,0.8,1
28,61,0.8,1
29,62,0.8,1
30,62,0.8,1
1,2,0.9,1
2,5,0.9,1
3,7,0.9,1
4,9,0.9,1
5,9,0.9,1
6,15,0.9,1
7,17,0.9,1
8,20,0.9,1
9,24,0.9,1
10,29,0.9,1
11,28,0.9,1
12,33,0.9,1
13,37,0.9,1
14,39,0.9,1
15,44,0.9,1
16,46,0.9,1
17,47,0.9,1
18,49,0.9,1
19,59,0.9,1
20,64,0.9,1
21,64,0.9,1
22,67,0.9,1
23,74,0.9,1
24,78,0.9,1
25,82,0.9,1
26,85,0.9,1
27,86,0.9,1
28,88,0.9,1
29,97,0.9,1
30,97,0.9,1
1,2,0.7,2
2,3,0.7,2
3,4,0.7,2
4,5,0.7,2
5,6,0.7,2
6,7,0.7,2
7,9,0.7,2
8,11,0.7,2
9,11,0.7,2
10,13,0.7,2
11,15,0.7,2
12,16,0.7,2
13,18,0.7,2
14,19,0.7,2
15,20,0.7,2
16,22,0.7,2
17,24,0.7,2
18,26,0.7,2
19,28,0.7,2
20,30,0.7,2
21,30,0.7,2
22,33,0.7,2
23,34,0.7,2
24,35,0.7,2
25,36,0.7,2
26,38,0.7,2
27,42,0.7,2
28,43,0.7,2
29,45,0.7,2
30,46,0.7,2
1,2,0.8,2
2,3,0.8,2
3,5,0.8,2
4,7,0.8,2
5,9,0.8,2
6,11,0.8,2
7,12,0.8,2
8,12,0.8,2
9,14,0.8,2
10,19,0.8,2
11,20,0.8,2
12,20,0.8,2
13,23,0.8,2
14,25,0.8,2
15,28,0.8,2
16,30,0.8,2
17,35,0.8,2
18,37,0.8,2
19,38,0.8,2
20,40,0.8,2
21,41,0.8,2
22,47,0.8,2
23,48,0.8,2
24,50,0.8,2
25,52,0.8,2
26,57,0.8,2
27,58,0.8,2
28,60,0.8,2
29,63,0.8,2
30,65,0.8,2
1,3,0.9,2
2,5,0.9,2
3,8,0.9,2
4,10,0.9,2
5,12,0.9,2
6,14,0.9,2
7,18,0.9,2
8,20,0.9,2
9,23,0.9,2
10,28,0.9,2
11,31,0.9,2
12,32,0.9,2
13,34,0.9,2
14,39,0.9,2
15,43,0.9,2
16,49,0.9,2
17,53,0.9,2
18,54,0.9,2
19,61,0.9,2
20,65,0.9,2
21,66,0.9,2
22,68,0.9,2
23,70,0.9,2
24,79,0.9,2
25,82,0.9,2
26,84,0.9,2
27,89,0.9,2
28,90,0.9,2
29,94,0.9,2
30,96,0.9,2
1,2,0.7,3
2,3,0.7,3
3,4,0.7,3
4,5,0.7,3
5,6,0.7,3
6,6,0.7,3
7,8,0.7,3
8,10,0.7,3
9,12,0.7,3
10,13,0.7,3
11,14,0.7,3
12,16,0.7,3
13,18,0.7,3
14,19,0.7,3
15,22,0.7,3
16,23,0.7,3
17,24,0.7,3
18,27,0.7,3
19,29,0.7,3
20,30,0.7,3
21,31,0.7,3
22,33,0.7,3
23,33,0.7,3
24,36,0.7,3
25,37,0.7,3
26,39,0.7,3
27,40,0.7,3
28,40,0.7,3
29,41,0.7,3
30,42,0.7,3
1,2,0.8,3
2,4,0.8,3
3,5,0.8,3
4,6,0.8,3
5,8,0.8,3
6,9,0.8,3
7,11,0.8,3
8,13,0.8,3
9,15,0.8,3
10,18,0.8,3
11,21,0.8,3
12,23,0.8,3
13,26,0.8,3
14,28,0.8,3
15,30,0.8,3
16,32,0.8,3
17,36,0.8,3
18,38,0.8,3
19,38,0.8,3
20,40,0.8,3
21,42,0.8,3
22,45,0.8,3
23,47,0.8,3
24,46,0.8,3
25,47,0.8,3
26,50,0.8,3
27,53,0.8,3
28,56,0.8,3
29,60,0.8,3
30,64,0.8,3
1,4,0.9,3
2,4,0.9,3
3,7,0.9,3
4,9,0.9,3
5,11,0.9,3
6,14,0.9,3
7,18,0.9,3
8,19,0.9,3
9,23,0.9,3
10,27,0.9,3
11,29,0.9,3
12,31,0.9,3
13,38,0.9,3
14,41,0.9,3
15,43,0.9,3
16,47,0.9,3
17,50,0.9,3
18,54,0.9,3
19,59,0.9,3
20,61,0.9,3
21,67,0.9,3
22,70,0.9,3
23,72,0.9,3
24,75,0.9,3
25,77,0.9,3
26,84,0.9,3
27,87,0.9,3
28,88,0.9,3
29,95,0.9,3
30,98,0.9,3
1,2,0.7,4
2,3,0.7,4
3,4,0.7,4
4,4,0.7,4
5,6,0.7,4
6,7,0.7,4
7,9,0.7,4
8,11,0.7,4
9,12,0.7,4
10,13,0.7,4
11,15,0.7,4
12,16,0.7,4
13,18,0.7,4
14,19,0.7,4
15,21,0.7,4
16,22,0.7,4
17,24,0.7,4
18,26,0.7,4
19,28,0.7,4
20,30,0.7,4
21,32,0.7,4
22,34,0.7,4
23,35,0.7,4
24,38,0.7,4
25,38,0.7,4
26,41,0.7,4
27,42,0.7,4
28,44,0.7,4
29,46,0.7,4
30,47,0.7,4
1,2,0.8,4
2,4,0.8,4
3,5,0.8,4
4,7,0.8,4
5,8,0.8,4
6,10,0.8,4
7,12,0.8,4
8,14,0.8,4
9,17,0.8,4
10,17,0.8,4
11,21,0.8,4
12,23,0.8,4
13,26,0.8,4
14,28,0.8,4
15,30,0.8,4
16,33,0.8,4
17,34,0.8,4
18,37,0.8,4
19,40,0.8,4
20,42,0.8,4
21,43,0.8,4
22,47,0.8,4
23,49,0.8,4
24,50,0.8,4
25,52,0.8,4
26,53,0.8,4
27,54,0.8,4
28,55,0.8,4
29,56,0.8,4
30,58,0.8,4
1,3,0.9,4
2,5,0.9,4
3,8,0.9,4
4,9,0.9,4
5,11,0.9,4
6,14,0.9,4
7,16,0.9,4
8,21,0.9,4
9,24,0.9,4
10,26,0.9,4
11,32,0.9,4
12,37,0.9,4
13,38,0.9,4
14,42,0.9,4
15,44,0.9,4
16,46,0.9,4
17,53,0.9,4
18,55,0.9,4
19,63,0.9,4
20,64,0.9,4
21,65,0.9,4
22,65,0.9,4
23,72,0.9,4
24,73,0.9,4
25,76,0.9,4
26,78,0.9,4
27,78,0.9,4
28,82,0.9,4
29,87,0.9,4
30,95,0.9,4
1,1,0.7,5
2,3,0.7,5
3,4,0.7,5
4,5,0.7,5
5,6,0.7,5
6,7,0.7,5
7,8,0.7,5
8,10,0.7,5
9,11,0.7,5
10,13,0.7,5
11,15,0.7,5
12,16,0.7,5
13,19,0.7,5
14,20,0.7,5
15,21,0.7,5
16,21,0.7,5
17,23,0.7,5
18,25,0.7,5
19,28,0.7,5
20,29,0.7,5
21,30,0.7,5
22,31,0.7,5
23,32,0.7,5
24,34,0.7,5
25,35,0.7,5
26,38,0.7,5
27,42,0.7,5
28,43,0.7,5
29,44,0.7,5
30,46,0.7,5
1,2,0.8,5
2,4,0.8,5
3,5,0.8,5
4,7,0.8,5
5,9,0.8,5
6,10,0.8,5
7,11,0.8,5
8,13,0.8,5
9,15,0.8,5
10,19,0.8,5
11,21,0.8,5
12,22,0.8,5
13,26,0.8,5
14,27,0.8,5
15,30,0.8,5
16,31,0.8,5
17,32,0.8,5
18,35,0.8,5
19,38,0.8,5
20,40,0.8,5
21,40,0.8,5
22,45,0.8,5
23,48,0.8,5
24,51,0.8,5
25,52,0.8,5
26,53,0.8,5
27,57,0.8,5
28,60,0.8,5
29,62,0.8,5
30,63,0.8,5
1,4,0.9,5
2,5,0.9,5
3,8,0.9,5
4,10,0.9,5
5,12,0.9,5
6,12,0.9,5
7,18,0.9,5
8,20,0.9,5
9,24,0.9,5
10,26,0.9,5
11,31,0.9,5
12,33,0.9,5
13,35,0.9,5
14,37,0.9,5
15,43,0.9,5
16,44,0.9,5
17,48,0.9,5
18,53,0.9,5
19,59,0.9,5
20,60,0.9,5
21,61,0.9,5
22,63,0.9,5
23,65,0.9,5
24,75,0.9,5
25,79,0.9,5
26,79,0.9,5
27,84,0.9,5
28,89,0.9,5
29,92,0.9,5
30,95,0.9,5
1,2,0.7,6
2,3,0.7,6
3,4,0.7,6
4,6,0.7,6
5,6,0.7,6
6,8,0.7,6
7,9,0.7,6
8,10,0.7,6
9,12,0.7,6
10,13,0.7,6
11,15,0.7,6
12,17,0.7,6
13,18,0.7,6
14,20,0.7,6
15,22,0.7,6
16,23,0.7,6
17,24,0.7,6
18,25,0.7,6
19,28,0.7,6
20,30,0.7,6
21,32,0.7,6
22,32,0.7,6
23,34,0.7,6
24,35,0.7,6
25,37,0.7,6
26,40,0.7,6
27,41,0.7,6
28,42,0.7,6
29,43,0.7,6
30,44,0.7,6
1,2,0.8,6
2,3,0.8,6
3,6,0.8,6
4,7,0.8,6
5,8,0.8,6
6,10,0.8,6
7,12,0.8,6
8,14,0.8,6
9,17,0.8,6
10,20,0.8,6
11,22,0.8,6
12,22,0.8,6
13,25,0.8,6
14,28,0.8,6
15,30,0.8,6
16,31,0.8,6
17,33,0.8,6
18,36,0.8,6
19,38,0.8,6
20,40,0.8,6
21,43,0.8,6
22,45,0.8,6
23,46,0.8,6
24,50,0.8,6
25,54,0.8,6
26,56,0.8,6
27,58,0.8,6
28,59,0.8,6
29,61,0.8,6
30,65,0.8,6
1,4,0.9,6
2,5,0.9,6
3,7,0.9,6
4,10,0.9,6
5,13,0.9,6
6,13,0.9,6
7,18,0.9,6
8,23,0.9,6
9,25,0.9,6
10,25,0.9,6
11,32,0.9,6
12,32,0.9,6
13,36,0.9,6
14,41,0.9,6
15,45,0.9,6
16,50,0.9,6
17,51,0.9,6
18,54,0.9,6
19,55,0.9,6
20,55,0.9,6
21,58,0.9,6
22,59,0.9,6
23,64,0.9,6
24,71,0.9,6
25,79,0.9,6
26,82,0.9,6
27,91,0.9,6
28,92,0.9,6
29,94,0.9,6
30,99,0.9,6
1,2,0.7,7
2,3,0.7,7
3,4,0.7,7
4,5,0.7,7
5,6,0.7,7
6,7,0.7,7
7,9,0.7,7
8,10,0.7,7
9,12,0.7,7
10,13,0.7,7
11,14,0.7,7
12,15,0.7,7
13,15,0.7,7
14,18,0.7,7
15,19,0.7,7
16,23,0.7,7
17,24,0.7,7
18,26,0.7,7
19,29,0.7,7
20,30,0.7,7
21,31,0.7,7
22,32,0.7,7
23,34,0.7,7
24,35,0.7,7
25,39,0.7,7
26,40,0.7,7
27,41,0.7,7
28,43,0.7,7
29,44,0.7,7
30,45,0.7,7
1,2,0.8,7
2,3,0.8,7
3,6,0.8,7
4,7,0.8,7
5,8,0.8,7
6,10,0.8,7
7,12,0.8,7
8,13,0.8,7
9,15,0.8,7
10,17,0.8,7
11,18,0.8,7
12,23,0.8,7
13,26,0.8,7
14,27,0.8,7
15,29,0.8,7
16,32,0.8,7
17,34,0.8,7
18,37,0.8,7
19,39,0.8,7
20,43,0.8,7
21,44,0.8,7
22,46,0.8,7
23,50,0.8,7
24,53,0.8,7
25,54,0.8,7
26,55,0.8,7
27,56,0.8,7
28,60,0.8,7
29,61,0.8,7
30,65,0.8,7
1,4,0.9,7
2,5,0.9,7
3,7,0.9,7
4,10,0.9,7
5,12,0.9,7
6,13,0.9,7
7,16,0.9,7
8,20,0.9,7
9,24,0.9,7
10,28,0.9,7
11,30,0.9,7
12,35,0.9,7
13,36,0.9,7
14,39,0.9,7
15,42,0.9,7
16,47,0.9,7
17,50,0.9,7
18,51,0.9,7
19,61,0.9,7
20,65,0.9,7
21,67,0.9,7
22,68,0.9,7
23,71,0.9,7
24,73,0.9,7
25,79,0.9,7
26,83,0.9,7
27,87,0.9,7
28,91,0.9,7
29,93,0.9,7
30,99,0.9,7
1,2,0.7,8
2,3,0.7,8
3,4,0.7,8
4,5,0.7,8
5,5,0.7,8
6,8,0.7,8
7,9,0.7,8
8,10,0.7,8
9,12,0.7,8
10,14,0.7,8
11,15,0.7,8
12,16,0.7,8
13,18,0.7,8
14,19,0.7,8
15,19,0.7,8
16,21,0.7,8
17,21,0.7,8
18,23,0.7,8
19,25,0.7,8
20,25,0.7,8
21,27,0.7,8
22,30,0.7,8
23,33,0.7,8
24,35,0.7,8
25,36,0.7,8
26,40,0.7,8
27,41,0.7,8
28,43,0.7,8
29,45,0.7,8
30,46,0.7,8
1,3,0.8,8
2,4,0.8,8
3,6,0.8,8
4,7,0.8,8
5,8,0.8,8
6,11,0.8,8
7,12,0.8,8
8,15,0.8,8
9,16,0.8,8
10,18,0.8,8
11,21,0.8,8
12,22,0.8,8
13,23,0.8,8
14,25,0.8,8
15,26,0.8,8
16,30,0.8,8
17,33,0.8,8
18,33,0.8,8
19,35,0.8,8
20,36,0.8,8
21,40,0.8,8
22,46,0.8,8
23,50,0.8,8
24,53,0.8,8
25,54,0.8,8
26,55,0.8,8
27,58,0.8,8
28,59,0.8,8
29,62,0.8,8
30,64,0.8,8
1,3,0.9,8
2,6,0.9,8
3,7,0.9,8
4,9,0.9,8
5,12,0.9,8
6,15,0.9,8
7,18,0.9,8
8,19,0.9,8
9,21,0.9,8
10,27,0.9,8
11,30,0.9,8
12,31,0.9,8
13,35,0.9,8
14,36,0.9,8
15,40,0.9,8
16,44,0.9,8
17,48,0.9,8
18,53,0.9,8
19,55,0.9,8
20,61,0.9,8
21,69,0.9,8
22,74,0.9,8
23,74,0.9,8
24,76,0.9,8
25,76,0.9,8
26,81,0.9,8
27,83,0.9,8
28,87,0.9,8
29,87,0.9,8
30,93,0.9,8
1,2,0.7,9
2,3,0.7,9
3,3,0.7,9
4,5,0.7,9
5,6,0.7,9
6,7,0.7,9
7,9,0.7,9
8,10,0.7,9
9,12,0.7,9
10,13,0.7,9
11,14,0.7,9
12,17,0.7,9
13,19,0.7,9
14,20,0.7,9
15,22,0.7,9
16,24,0.7,9
17,25,0.7,9
18,27,0.7,9
19,29,0.7,9
20,30,0.7,9
21,32,0.7,9
22,33,0.7,9
23,34,0.7,9
24,35,0.7,9
25,36,0.7,9
26,38,0.7,9
27,40,0.7,9
28,42,0.7,9
29,45,0.7,9
30,47,0.7,9
1,2,0.8,9
2,3,0.8,9
3,5,0.8,9
4,6,0.8,9
5,8,0.8,9
6,10,0.8,9
7,12,0.8,9
8,14,0.8,9
9,15,0.8,9
10,20,0.8,9
11,21,0.8,9
12,23,0.8,9
13,26,0.8,9
14,28,0.8,9
15,31,0.8,9
16,32,0.8,9
17,34,0.8,9
18,35,0.8,9
19,39,0.8,9
20,40,0.8,9
21,43,0.8,9
22,46,0.8,9
23,46,0.8,9
24,49,0.8,9
25,52,0.8,9
26,57,0.8,9
27,57,0.8,9
28,58,0.8,9
29,62,0.8,9
30,63,0.8,9
1,3,0.9,9
2,5,0.9,9
3,7,0.9,9
4,10,0.9,9
5,10,0.9,9
6,13,0.9,9
7,18,0.9,9
8,21,0.9,9
9,25,0.9,9
10,29,0.9,9
11,30,0.9,9
12,36,0.9,9
13,38,0.9,9
14,41,0.9,9
15,42,0.9,9
16,42,0.9,9
17,50,0.9,9
18,50,0.9,9
19,53,0.9,9
20,61,0.9,9
21,62,0.9,9
22,64,0.9,9
23,66,0.9,9
24,71,0.9,9
25,77,0.9,9
26,84,0.9,9
27,85,0.9,9
28,87,0.9,9
29,94,0.9,9
30,96,0.9,9
