generations,edit_rate,iteration
4,0.27,0
5,0.22,0
6,0.17500000000000002,0
7,0.16,0
8,0.14,0
9,0.135,0
10,0.11,0
11,0.105,0
12,0.1,0
13,0.095,0
14,0.085,0
15,0.08,0
16,0.08,0
17,0.07,0
18,0.07,0
19,0.06,0
20,0.06,0
21,0.06,0
22,0.055,0
23,0.055,0
24,0.05,0
25,0.05,0
26,0.05,0
27,0.05,0
28,0.05,0
29,0.05,0
30,0.045,0
31,0.045,0
32,0.045,0
33,0.04,0
34,0.04,0
35,0.04,0
36,0.035,0
37,0.035,0
38,0.03,0
39,0.03,0
40,0.03,0
41,0.03,0
42,0.03,0
43,0.03,0
44,0.03,0
45,0.03,0
46,0.025,0
47,0.025,0
48,0.025,0
49,0.025,0
50,0.025,0
51,0.025,0
52,0.025,0
53,0.025,0
54,0.025,0
55,0.025,0
56,0.025,0
57,0.02,0
58,0.02,0
59,0.02,0
60,0.02,0
61,0.02,0
62,0.02,0
63,0.02,0
64,0.02,0
65,0.02,0
66,0.02,0
67,0.02,0
68,0.02,0
69,0.02,0
70,0.02,0
71,0.02,0
72,0.02,0
73,0.02,0
74,0.02,0
75,0.02,0
76,0.02,0
77,0.02,0
78,0.02,0
79,0.02,0
80,0.02,0
81,0.02,0
82,0.015,0
83,0.015,0
84,0.015,0
85,0.015,0
86,0.015,0
87,0.015,0
88,0.015,0
89,0.015,0
90,0.015,0
91,0.015,0
92,0.015,0
93,0.015,0
94,0.015,0
95,0.015,0
96,0.015,0
97,0.015,0
98,0.015,0
99,0.015,0
100,0.015,0
4,0.255,1
5,0.215,1
6,0.17500000000000002,1
7,0.16,1
8,0.13,1
9,0.125,1
10,0.11,1
11,0.115,1
12,0.105,1
13,0.09,1
14,0.09,1
15,0.08,1
16,0.075,1
17,0.07,1
18,0.065,1
19,0.065,1
20,0.065,1
21,0.06,1
22,0.06,1
23,0.06,1
24,0.055,1
25,0.055,1
26,0.055,1
27,0.055,1
28,0.045,1
29,0.045,1
30,0.045,1
31,0.04,1
32,0.04,1
33,0.04,1
34,0.04,1
35,0.035,1
36,0.03,1
37,0.03,1
38,0.03,1
39,0.03,1
40,0.03,1
41,0.035,1
42,0.035,1
43,0.035,1
44,0.03,1
45,0.03,1
46,0.035,1
47,0.035,1
48,0.03,1
49,0.03,1
50,0.025,1
51,0.025,1
52,0.025,1
53,0.025,1
54,0.025,1
55,0.025,1
56,0.025,1
57,0.025,1
58,0.025,1
59,0.02,1
60,0.02,1
61,0.02,1
62,0.02,1
63,0.02,1
64,0.02,1
65,0.02,1
66,0.02,1
67,0.02,1
68,0.02,1
69,0.02,1
70,0.02,1
71,0.02,1
72,0.02,1
73,0.02,1
74,0.02,1
75,0.02,1
76,0.02,1
77,0.015,1
78,0.015,1
79,0.015,1
80,0.015,1
81,0.015,1
82,0.015,1
83,0.015,1
84,0.015,1
85,0.015,1
86,0.015,1
87,0.015,1
88,0.015,1
89,0.015,1
90,0.015,1
91,0.015,1
92,0.015,1
93,0.015,1
94,0.015,1
95,0.015,1
96,0.015,1
97,0.015,1
98,0.015,1
99,0.015,1
100,0.015,1
4,0.255,2
5,0.225,2
6,0.19,2
7,0.17500000000000002,2
8,0.14,2
9,0.125,2
10,0.105,2
11,0.1,2
12,0.11,2
13,0.09,2
14,0.085,2
15,0.08,2
16,0.07,2
17,0.075,2
18,0.065,2
19,0.06,2
20,0.06,2
21,0.06,2
22,0.055,2
23,0.055,2
24,0.045,2
25,0.045,2
26,0.05,2
27,0.05,2
28,0.05,2
29,0.05,2
30,0.04,2
31,0.04,2
32,0.04,2
33,0.035,2
34,0.035,2
35,0.035,2
36,0.035,2
37,0.035,2
38,0.03,2
39,0.03,2
40,0.03,2
41,0.03,2
42,0.03,2
43,0.03,2
44,0.03,2
45,0.03,2
46,0.03,2
47,0.03,2
48,0.025,2
49,0.025,2
50,0.025,2
51,0.025,2
52,0.025,2
53,0.025,2
54,0.025,2
55,0.025,2
56,0.025,2
57,0.025,2
58,0.025,2
59,0.025,2
60,0.025,2
61,0.025,2
62,0.025,2
63,0.02,2
64,0.02,2
65,0.02,2
66,0.02,2
67,0.02,2
68,0.02,2
69,0.02,2
70,0.02,2
71,0.02,2
72,0.02,2
73,0.02,2
74,0.02,2
75,0.02,2
76,0.02,2
77,0.015,2
78,0.015,2
79,0.015,2
80,0.015,2
81,0.015,2
82,0.015,2
83,0.015,2
84,0.015,2
85,0.015,2
86,0.015,2
87,0.015,2
88,0.015,2
89,0.015,2
90,0.015,2
91,0.015,2
92,0.015,2
93,0.015,2
94,0.015,2
95,0.015,2
96,0.015,2
97,0.015,2
98,0.015,2
99,0.015,2
100,0.015,2
4,0.26,3
5,0.23,3
6,0.185,3
7,0.16,3
8,0.155,3
9,0.125,3
10,0.12,3
11,0.105,3
12,0.1,3
13,0.09,3
14,0.08,3
15,0.075,3
16,0.075,3
17,0.07,3
18,0.065,3
19,0.065,3
20,0.065,3
21,0.06,3
22,0.055,3
23,0.055,3
24,0.05,3
25,0.05,3
26,0.045,3
27,0.045,3
28,0.045,3
29,0.04,3
30,0.04,3
31,0.04,3
32,0.04,3
33,0.04,3
34,0.04,3
35,0.035,3
36,0.035,3
37,0.035,3
38,0.035,3
39,0.035,3
40,0.035,3
41,0.03,3
42,0.03,3
43,0.03,3
44,0.025,3
45,0.025,3
46,0.025,3
47,0.025,3
48,0.025,3
49,0.025,3
50,0.025,3
51,0.025,3
52,0.025,3
53,0.025,3
54,0.025,3
55,0.025,3
56,0.025,3
57,0.025,3
58,0.025,3
59,0.025,3
60,0.025,3
61,0.025,3
62,0.025,3
63,0.02,3
64,0.02,3
65,0.02,3
66,0.02,3
67,0.02,3
68,0.02,3
69,0.02,3
70,0.02,3
71,0.02,3
72,0.02,3
73,0.02,3
74,0.015,3
75,0.015,3
76,0.015,3
77,0.015,3
78,0.015,3
79,0.015,3
80,0.015,3
81,0.015,3
82,0.015,3
83,0.015,3
84,0.015,3
85,0.015,3
86,0.015,3
87,0.015,3
88,0.015,3
89,0.015,3
90,0.015,3
91,0.015,3
92,0.015,3
93,0.015,3
94,0.015,3
95,0.015,3
96,0.015,3
97,0.015,3
98,0.015,3
99,0.015,3
100,0.015,3
4,0.245,4
5,0.225,4
6,0.185,4
7,0.16,4
8,0.15,4
9,0.135,4
10,0.115,4
11,0.12,4
12,0.09,4
13,0.095,4
14,0.08,4
15,0.085,4
16,0.085,4
17,0.075,4
18,0.075,4
19,0.07,4
20,0.06,4
21,0.06,4
22,0.055,4
23,0.055,4
24,0.055,4
25,0.055,4
26,0.05,4
27,0.045,4
28,0.045,4
29,0.045,4
30,0.04,4
31,0.04,4
32,0.04,4
33,0.04,4
34,0.04,4
35,0.04,4
36,0.04,4
37,0.035,4
38,0.03,4
39,0.03,4
40,0.03,4
41,0.03,4
42,0.03,4
43,0.03,4
44,0.03,4
45,0.03,4
46,0.03,4
47,0.03,4
48,0.03,4
49,0.03,4
50,0.03,4
51,0.025,4
52,0.025,4
53,0.025,4
54,0.025,4
55,0.025,4
56,0.025,4
57,0.025,4
58,0.025,4
59,0.025,4
60,0.025,4
61,0.02,4
62,0.02,4
63,0.02,4
64,0.02,4
65,0.02,4
66,0.02,4
67,0.02,4
68,0.02,4
69,0.02,4
70,0.02,4
71,0.02,4
72,0.02,4
73,0.02,4
74,0.02,4
75,0.02,4
76,0.02,4
77,0.02,4
78,0.02,4
79,0.02,4
80,0.02,4
81,0.02,4
82,0.02,4
83,0.02,4
84,0.015,4
85,0.015,4
86,0.015,4
87,0.015,4
88,0.015,4
89,0.015,4
90,0.015,4
91,0.015,4
92,0.015,4
93,0.015,4
94,0.015,4
95,0.015,4
96,0.015,4
97,0.015,4
98,0.015,4
99,0.015,4
100,0.015,4
4,0.26,5
5,0.22,5
6,0.19,5
7,0.165,5
8,0.155,5
9,0.135,5
10,0.115,5
11,0.105,5
12,0.105,5
13,0.095,5
14,0.09,5
15,0.075,5
16,0.07,5
17,0.07,5
18,0.065,5
19,0.065,5
20,0.065,5
21,0.06,5
22,0.055,5
23,0.05,5
24,0.05,5
25,0.05,5
26,0.05,5
27,0.045,5
28,0.045,5
29,0.045,5
30,0.045,5
31,0.045,5
32,0.04,5
33,0.035,5
34,0.035,5
35,0.035,5
36,0.035,5
37,0.035,5
38,0.035,5
39,0.035,5
40,0.035,5
41,0.035,5
42,0.035,5
43,0.03,5
44,0.03,5
45,0.03,5
46,0.03,5
47,0.03,5
48,0.03,5
49,0.03,5
50,0.03,5
51,0.03,5
52,0.025,5
53,0.025,5
54,0.025,5
55,0.025,5
56,0.025,5
57,0.025,5
58,0.02,5
59,0.02,5
60,0.02,5
61,0.02,5
62,0.02,5
63,0.02,5
64,0.02,5
65,0.02,5
66,0.02,5
67,0.02,5
68,0.02,5
69,0.02,5
70,0.02,5
71,0.02,5
72,0.02,5
73,0.02,5
74,0.02,5
75,0.02,5
76,0.02,5
77,0.02,5
78,0.02,5
79,0.02,5
80,0.02,5
81,0.02,5
82,0.02,5
83,0.015,5
84,0.015,5
85,0.015,5
86,0.015,5
87,0.015,5
88,0.015,5
89,0.015,5
90,0.015,5
91,0.015,5
92,0.015,5
93,0.015,5
94,0.015,5
95,0.015,5
96,0.015,5
97,0.015,5
98,0.015,5
99,0.015,5
100,0.015,5
4,0.255,6
5,0.215,6
6,0.19,6
7,0.16,6
8,0.14,6
9,0.135,6
10,0.115,6
11,0.095,6
12,0.095,6
13,0.09,6
14,0.085,6
15,0.075,6
16,0.07,6
17,0.07,6
18,0.065,6
19,0.06,6
20,0.06,6
21,0.06,6
22,0.05,6
23,0.05,6
24,0.055,6
25,0.055,6
26,0.055,6
27,0.045,6
28,0.045,6
29,0.045,6
30,0.045,6
31,0.04,6
32,0.04,6
33,0.04,6
34,0.04,6
35,0.04,6
36,0.035,6
37,0.035,6
38,0.035,6
39,0.03,6
40,0.03,6
41,0.03,6
42,0.03,6
43,0.03,6
44,0.03,6
45,0.03,6
46,0.03,6
47,0.025,6
48,0.025,6
49,0.025,6
50,0.025,6
51,0.025,6
52,0.025,6
53,0.025,6
54,0.025,6
55,0.025,6
56,0.025,6
57,0.025,6
58,0.025,6
59,0.025,6
60,0.025,6
61,0.025,6
62,0.025,6
63,0.025,6
64,0.025,6
65,0.025,6
66,0.025,6
67,0.02,6
68,0.02,6
69,0.02,6
70,0.02,6
71,0.02,6
72,0.02,6
73,0.02,6
74,0.02,6
75,0.02,6
76,0.02,6
77,0.015,6
78,0.015,6
79,0.015,6
80,0.015,6
81,0.015,6
82,0.015,6
83,0.015,6
84,0.015,6
85,0.015,6
86,0.015,6
87,0.015,6
88,0.015,6
89,0.015,6
90,0.015,6
91,0.015,6
92,0.015,6
93,0.015,6
94,0.015,6
95,0.015,6
96,0.015,6
97,0.015,6
98,0.015,6
99,0.015,6
100,0.015,6
4,0.26,7
5,0.23500000000000001,7
6,0.195,7
7,0.155,7
8,0.145,7
9,0.135,7
10,0.115,7
11,0.115,7
12,0.1,7
13,0.095,7
14,0.09,7
15,0.085,7
16,0.075,7
17,0.075,7
18,0.07,7
19,0.07,7
20,0.065,7
21,0.065,7
22,0.065,7
23,0.055,7
24,0.055,7
25,0.05,7
26,0.05,7
27,0.05,7
28,0.045,7
29,0.045,7
30,0.045,7
31,0.045,7
32,0.045,7
33,0.035,7
34,0.035,7
35,0.035,7
36,0.035,7
37,0.035,7
38,0.03,7
39,0.03,7
40,0.03,7
41,0.03,7
42,0.03,7
43,0.03,7
44,0.03,7
45,0.03,7
46,0.03,7
47,0.025,7
48,0.025,7
49,0.025,7
50,0.025,7
51,0.025,7
52,0.025,7
53,0.025,7
54,0.025,7
55,0.025,7
56,0.025,7
57,0.025,7
58,0.025,7
59,0.025,7
60,0.02,7
61,0.02,7
62,0.02,7
63,0.02,7
64,0.02,7
65,0.02,7
66,0.02,7
67,0.02,7
68,0.02,7
69,0.02,7
70,0.02,7
71,0.02,7
72,0.02,7
73,0.02,7
74,0.02,7
75,0.02,7
76,0.02,7
77,0.02,7
78,0.015,7
79,0.015,7
80,0.015,7
81,0.015,7
82,0.015,7
83,0.015,7
84,0.015,7
85,0.015,7
86,0.015,7
87,0.015,7
88,0.015,7
89,0.015,7
90,0.015,7
91,0.015,7
92,0.015,7
93,0.015,7
94,0.015,7
95,0.015,7
96,0.015,7
97,0.015,7
98,0.015,7
99,0.015,7
100,0.015,7
4,0.245,8
5,0.24,8
6,0.17500000000000002,8
7,0.18,8
8,0.15,8
9,0.135,8
10,0.12,8
11,0.115,8
12,0.095,8
13,0.08,8
14,0.09,8
15,0.085,8
16,0.085,8
17,0.075,8
18,0.07,8
19,0.06,8
20,0.065,8
21,0.06,8
22,0.055,8
23,0.055,8
24,0.055,8
25,0.055,8
26,0.05,8
27,0.05,8
28,0.045,8
29,0.04,8
30,0.04,8
31,0.04,8
32,0.04,8
33,0.04,8
34,0.035,8
35,0.035,8
36,0.035,8
37,0.035,8
38,0.035,8
39,0.035,8
40,0.035,8
41,0.03,8
42,0.03,8
43,0.03,8
44,0.03,8
45,0.025,8
46,0.025,8
47,0.025,8
48,0.025,8
49,0.025,8
50,0.025,8
51,0.025,8
52,0.025,8
53,0.025,8
54,0.025,8
55,0.025,8
56,0.025,8
57,0.025,8
58,0.025,8
59,0.025,8
60,0.025,8
61,0.02,8
62,0.02,8
63,0.02,8
64,0.02,8
65,0.02,8
66,0.02,8
67,0.02,8
68,0.02,8
69,0.02,8
70,0.02,8
71,0.02,8
72,0.02,8
73,0.02,8
74,0.02,8
75,0.02,8
76,0.015,8
77,0.015,8
78,0.015,8
79,0.015,8
80,0.015,8
81,0.015,8
82,0.015,8
83,0.015,8
84,0.015,8
85,0.015,8
86,0.015,8
87,0.015,8
88,0.015,8
89,0.015,8
90,0.015,8
91,0.015,8
92,0.015,8
93,0.015,8
94,0.015,8
95,0.015,8
96,0.015,8
97,0.015,8
98,0.015,8
99,0.015,8
100,0.015,8
4,0.255,9
5,0.215,9
6,0.195,9
7,0.165,9
8,0.145,9
9,0.135,9
10,0.115,9
11,0.105,9
12,0.1,9
13,0.09,9
14,0.085,9
15,0.08,9
16,0.07,9
17,0.07,9
18,0.07,9
19,0.075,9
20,0.06,9
21,0.055,9
22,0.055,9
23,0.055,9
24,0.055,9
25,0.05,9
26,0.045,9
27,0.045,9
28,0.045,9
29,0.045,9
30,0.045,9
31,0.045,9
32,0.045,9
33,0.04,9
34,0.035,9
35,0.035,9
36,0.035,9
37,0.035,9
38,0.035,9
39,0.035,9
40,0.035,9
41,0.03,9
42,0.03,9
43,0.03,9
44,0.03,9
45,0.03,9
46,0.03,9
47,0.03,9
48,0.025,9
49,0.025,9
50,0.025,9
51,0.025,9
52,0.025,9
53,0.025,9
54,0.025,9
55,0.025,9
56,0.025,9
57,0.025,9
58,0.025,9
59,0.02,9
60,0.02,9
61,0.02,9
62,0.02,9
63,0.02,9
64,0.02,9
65,0.02,9
66,0.02,9
67,0.02,9
68,0.02,9
69,0.02,9
70,0.02,9
71,0.02,9
72,0.02,9
73,0.02,9
74,0.02,9
75,0.02,9
76,0.02,9
77,0.02,9
78,0.015,9
79,0.015,9
80,0.015,9
81,0.015,9
82,0.015,9
83,0.015,9
84,0.015,9
85,0.015,9
86,0.015,9
87,0.015,9
88,0.015,9
89,0.015,9
90,0.015,9
91,0.015,9
92,0.015,9
93,0.015,9
94,0.015,9
95,0.015,9
96,0.015,9
97,0.015,9
98,0.015,9
99,0.015,9
100,0.015,9
