,Slc2a1,Vegfa,Arg1,Foxm1,Tmprss11e,Ncapd2,Slc6a2,Cdca2,Krt19,Fgfbp1,Sox9,Cldn4,Rad51,C1qa,C1qb,Sdc1,Kif2c,C1qc,Ibsp,Nek2,Mmp12,Nes,Wnt7b,Fcer2a,Rpa2,Cd274,Mrc1,Cdh1,Snai1,Ung,Inava
Slc2a1,0.0,49.863130681948235,12.291525172609116,-10.989828322181282,5.561537153678935,-9.847178798020154,-5.54503354952055,-8.681625715452059,6.261305489518244,-5.959113955383138,22.779819766701973,-6.830955983756723,-5.361230653370434,-12.039716135815976,-10.535605466965668,6.478542604565383,-6.858474135653478,-11.159196907328402,9.601783758638298,-6.60860052164681,14.164276228890607,-11.26754926613382,-6.943810777149081,1.8921187041214782,-10.326604677302512,1.9096766789759472,-9.124320988572968,-10.43240157426404,16.307756591387623,-9.245271153861687,-12.12677190705154
Vegfa,49.863130681948235,0.0,15.455495294770776,-4.541027694228016,14.624899268097947,-3.8876477879496276,-10.996468305152419,-2.3866230526644854,12.198791356179028,-5.814051456360447,22.336527710888507,-4.337398232138762,1.0444427712630335,-17.837549026877845,-17.110672403540292,5.375906803510165,-1.4944261933162146,-17.29064091209725,17.97800569206719,-1.7455779978695536,13.273271312682066,-8.491656076315053,-9.78276717390725,0.8707854123711029,-7.327591275826378,3.0314451681245984,-14.059661672958697,-8.043651117099758,14.06950749336669,-11.211851624628197,-13.493201829608836
Arg1,12.291525172609116,15.455495294770776,0.0,-9.026980122315756,3.7257362762663813,-9.069379737389148,-12.96959833410955,-8.322558157588395,13.449248355248985,-12.20491613051438,17.113219070667594,-9.56909824082308,-6.397966332895618,-15.961599612406772,-15.30378987012053,15.040643221323714,-7.371330760843358,-17.368403241167233,5.521926289541762,-5.476382634450281,22.262476600654182,1.1282770023980488,-6.492644420242618,1.0734885095349391,-9.292915663803683,-2.679202734487124,-12.148828692504312,-13.481196288100612,11.87921670230479,-11.48860636924061,-11.40300693564875
Foxm1,-10.989828322181282,-4.541027694228016,-9.026980122315756,0.0,24.502591141373642,40.56240723581147,-18.15844257052829,37.474551689556925,15.869084339905802,5.0789482668541845,-9.943181733138621,8.718199934351588,34.93219327673839,-13.00961737779094,-14.857125190794271,-23.66578588015084,34.20217890785125,-13.414793709498506,7.6606017629928385,33.52347306392425,-16.900936130436104,19.059370779048173,-11.50093564375452,-10.00399066622687,28.794128754593817,1.4758476082941203,-13.819880817413418,5.345438453070298,-15.734841014988785,14.716776334844013,0.08818443498648558
Tmprss11e,5.561537153678935,14.624899268097947,3.7257362762663813,24.502591141373642,0.0,23.247276747380063,-15.50156449289782,23.599759719421463,24.34279067537301,-4.106469262663838,9.902494580017885,0.3860323880745463,26.804827984218367,-22.279312624161122,-23.33764268693757,-11.449342851465502,22.716948880533106,-20.62559300721436,20.980900732137712,19.058337017532434,-3.2203458618690215,15.825877095471025,-10.011637432537201,-2.495726377004991,10.693616860132193,-1.1494386146553013,-17.065434290191245,-0.02974390168875663,-4.219546817979413,-4.143941431531234,-9.288045082957085
Ncapd2,-9.847178798020154,-3.8876477879496276,-9.069379737389148,40.56240723581147,23.247276747380063,0.0,-17.98878975661683,37.7470250912697,14.68730008461314,4.972335919899243,-9.933800074128008,9.74693559243115,34.49978624608613,-13.086596388372335,-15.075841976886514,-23.868178967402965,34.499367356467246,-13.31730057180587,9.02085044434721,33.689800605926294,-17.116722947988254,17.763443029243906,-10.539064419465758,-10.554107085536565,29.255478070215972,0.9964514356944688,-13.88698371246905,5.183147718528117,-15.814376435355832,14.958497218643757,1.5672922894353383
Slc6a2,-5.54503354952055,-10.996468305152419,-12.96959833410955,-18.15844257052829,-15.50156449289782,-17.98878975661683,0.0,-16.719692683312207,-22.555569494647454,-2.5596114643895875,-4.9033618422784135,7.754783374948075,-16.8487653586664,16.454282788095487,16.073419337949357,0.3558397860590373,-14.787283775193956,18.764517693446386,-10.652210649075489,-15.203561880723713,-3.2396824039240224,-11.829598838631842,16.171164912387596,8.499732335336668,-12.165288842092979,-3.3679522601143805,18.972411986675624,-3.0345555954328165,3.7141102771551475,-5.265199111166777,14.182188641265958
Cdca2,-8.681625715452059,-2.3866230526644854,-8.322558157588395,37.474551689556925,23.599759719421463,37.7470250912697,-16.719692683312207,0.0,15.97066293655213,5.265605093129361,-8.49034911607624,9.313837395170541,33.90097790078171,-13.241310903761157,-14.903803078473114,-23.47161121410967,34.57454723241091,-13.35878584251708,10.96453599032254,33.551345018964675,-15.952832949060632,16.458395056416133,-11.718394034396074,-9.572714248390461,28.422060705704013,0.5577122754014252,-13.815679539790498,5.835051978318288,-15.303096524875755,14.143474867605454,0.9898328706260427
Krt19,6.261305489518244,12.198791356179028,13.449248355248985,15.869084339905802,24.34279067537301,14.68730008461314,-22.555569494647454,15.97066293655213,0.0,-4.114059419606745,16.69822944994347,-6.9075395317767,15.216351711897868,-19.34867574638112,-20.151564543607098,-0.9326586340912012,17.2993481264682,-20.100608100971208,11.864071340917304,16.319796618156865,1.6260884033896743,13.567871717774539,-9.97820309554378,-4.133035488627736,4.031367022942472,-2.716838862665913,-17.03558683449928,0.38773685436073024,-2.192137160915006,-6.936406374877466,-15.573562197821266
Fgfbp1,-5.959113955383138,-5.814051456360447,-12.20491613051438,5.0789482668541845,-4.106469262663838,4.972335919899243,-2.5596114643895875,5.265605093129361,-4.114059419606745,0.0,-12.957670184343138,11.25062977497953,3.284509186705586,7.92296769046923,10.223074171948078,-11.442969530597423,3.5083750696379146,7.0213728791346215,-4.102265558420334,3.5677740707185563,-9.930585254014654,-8.009493689608009,-8.27916967125873,-0.965166998894138,6.661966938234895,7.841221843373202,-0.2452339393198614,19.448122220557945,-8.7305994490993,8.408065131830556,0.10418035019985569
Sox9,22.779819766701973,22.336527710888507,17.113219070667594,-9.943181733138621,9.902494580017885,-9.933800074128008,-4.9033618422784135,-8.49034911607624,16.69822944994347,-12.957670184343138,0.0,-13.008029648530028,-6.151801529704229,-17.41791764014925,-16.715376851069923,18.725842091017658,-5.014689086662533,-16.412580138700516,5.653693689136273,-5.930133329090545,19.23906032523726,-5.359122618865952,1.6336416419627267,6.793926024128957,-13.856570990991786,-1.543412010869589,-10.468935965356833,-11.575090444915901,19.95883489194897,-17.479246061706778,-10.465685191309348
Cldn4,-6.830955983756723,-4.337398232138762,-9.56909824082308,8.718199934351588,0.3860323880745463,9.74693559243115,7.754783374948075,9.313837395170541,-6.9075395317767,11.25062977497953,-13.008029648530028,0.0,7.396526269889149,2.9015477580620477,1.4840382346240004,-16.837625562412764,5.882184036204828,2.3450424682400377,-3.2730473035168495,7.1558258739279905,-13.174296932847538,-2.1972903617992867,-3.355507093436271,4.489235980443794,11.48283377676598,1.5451654207463348,-1.5030109034451755,11.394831569454519,-9.290697721925651,11.134896911584875,11.239290857124297
Rad51,-5.361230653370434,1.0444427712630335,-6.397966332895618,34.93219327673839,26.804827984218367,34.49978624608613,-16.8487653586664,33.90097790078171,15.216351711897868,3.284509186705586,-6.151801529704229,7.396526269889149,0.0,-15.856220663505878,-17.563003322931788,-21.988277792837128,32.00935803360533,-16.295647282156445,12.617088009623272,30.06579426136551,-13.405569839254232,19.6279775277047,-11.38501595333364,-7.470426284798551,27.16036175651258,0.7036992780878196,-15.503451461093196,3.8139245683479537,-14.358332954282547,12.242667637079578,-1.8539790089347432
C1qa,-12.039716135815976,-17.837549026877845,-15.961599612406772,-13.00961737779094,-22.279312624161122,-13.086596388372335,16.454282788095487,-13.241310903761157,-19.34867574638112,7.92296769046923,-17.41791764014925,2.9015477580620477,-15.856220663505878,0.0,33.10548780647699,-4.732243475246736,-11.852391674246379,31.593853986656388,-12.401221207492533,-10.916281913493183,-9.581512500753352,-8.885547019267005,3.151990864970999,-4.827767074898706,-5.433071022459328,2.475672710798615,24.113005879786645,10.196700365476966,-9.713299912248441,6.739459854404397,3.0372892491303185
C1qb,-10.535605466965668,-17.110672403540292,-15.30378987012053,-14.857125190794271,-23.33764268693757,-15.075841976886514,16.073419337949357,-14.903803078473114,-20.151564543607098,10.223074171948078,-16.715376851069923,1.4840382346240004,-17.563003322931788,33.10548780647699,0.0,-2.908147457435035,-13.252189686316806,31.8077811065251,-12.99137317067834,-12.516730935566816,-7.88602219643981,-10.926298127989543,1.5517080990725591,-3.082859415886355,-7.3312860947838665,3.947354597058546,24.234482749698763,11.059458819442208,-7.816758405813122,6.091068121133195,2.0326534227749344
Sdc1,6.478542604565383,5.375906803510165,15.040643221323714,-23.66578588015084,-11.449342851465502,-23.868178967402965,0.3558397860590373,-23.47161121410967,-0.9326586340912012,-11.442969530597423,18.725842091017658,-16.837625562412764,-21.988277792837128,-4.732243475246736,-2.908147457435035,0.0,-21.910754185734618,-4.653055975768652,-2.0454538645992564,-21.48447536303132,24.14066297157067,-7.322140695821039,7.9470239386840325,8.954616165703042,-20.11869313790578,-3.3567500077894863,0.4376770204699659,-11.457512305901478,21.39310785367206,-14.498068581731916,-2.5968439200629105
Kif2c,-6.858474135653478,-1.4944261933162146,-7.371330760843358,34.20217890785125,22.716948880533106,34.499367356467246,-14.787283775193956,34.57454723241091,17.2993481264682,3.5083750696379146,-5.014689086662533,5.882184036204828,32.00935803360533,-11.852391674246379,-13.252189686316806,-21.910754185734618,0.0,-11.983338730018327,10.731260624921598,33.66039035838079,-15.100602810875023,16.134730002053736,-11.418823032844863,-9.768971167709475,25.954467223482695,1.2718208430012334,-12.667717234173077,5.064736119115587,-13.928993509951917,11.11273358336415,-1.7615185454109032
C1qc,-11.159196907328402,-17.29064091209725,-17.368403241167233,-13.414793709498506,-20.62559300721436,-13.31730057180587,18.764517693446386,-13.35878584251708,-20.100608100971208,7.0213728791346215,-16.412580138700516,2.3450424682400377,-16.295647282156445,31.593853986656388,31.8077811065251,-4.653055975768652,-11.983338730018327,0.0,-12.892850062020523,-11.52068846028547,-10.270047710358364,-9.566560822003696,4.665999151358045,-2.2151189737701382,-6.949051706600796,1.84216817309041,25.330492089548734,8.957690908260837,-8.150809749494794,5.323179728688296,5.2975501250069605
Ibsp,9.601783758638298,17.97800569206719,5.521926289541762,7.6606017629928385,20.980900732137712,9.02085044434721,-10.652210649075489,10.96453599032254,11.864071340917304,-4.102265558420334,5.653693689136273,-3.2730473035168495,12.617088009623272,-12.401221207492533,-12.99137317067834,-2.0454538645992564,10.731260624921598,-12.892850062020523,0.0,8.604750916945475,3.897499389577397,4.3647650679753776,-10.653179526396258,-3.7404210152627932,2.8213413304743535,1.5970711733092702,-11.133192414242261,-3.150406607164093,-1.731642086886861,-5.141516976421012,-8.125259556633136
Nek2,-6.60860052164681,-1.7455779978695536,-5.476382634450281,33.52347306392425,19.058337017532434,33.689800605926294,-15.203561880723713,33.551345018964675,16.319796618156865,3.5677740707185563,-5.930133329090545,7.1558258739279905,30.06579426136551,-10.916281913493183,-12.516730935566816,-21.48447536303132,33.66039035838079,-11.52068846028547,8.604750916945475,0.0,-14.912919579915672,16.20738279241071,-12.773998283239731,-9.819817149938999,26.73774818915064,0.9276678452207611,-12.066475776674649,4.631815309890358,-14.08663294819264,13.015820806617823,-1.2004836956599614
Mmp12,14.164276228890607,13.273271312682066,22.262476600654182,-16.900936130436104,-3.2203458618690215,-17.116722947988254,-3.2396824039240224,-15.952832949060632,1.6260884033896743,-9.930585254014654,19.23906032523726,-13.174296932847538,-13.405569839254232,-9.581512500753352,-7.88602219643981,24.14066297157067,-15.100602810875023,-10.270047710358364,3.897499389577397,-14.912919579915672,0.0,-8.264211108300191,-1.3744548527556126,8.965783676473103,-16.08702525181125,2.296025141874339,-6.2228640864462665,-12.61474206048558,18.251327566234334,-13.147469076372744,-7.4844179458747755
Nes,-11.26754926613382,-8.491656076315053,1.1282770023980488,19.059370779048173,15.825877095471025,17.763443029243906,-11.829598838631842,16.458395056416133,13.567871717774539,-8.009493689608009,-5.359122618865952,-2.1972903617992867,19.6279775277047,-8.885547019267005,-10.926298127989543,-7.322140695821039,16.134730002053736,-9.566560822003696,4.3647650679753776,16.20738279241071,-8.264211108300191,0.0,-3.3937886624199574,-6.6287077607832705,15.21443006348975,-10.10488978724177,-6.809808882409831,-3.1036596140736785,-12.222188143779894,7.079685158680324,-2.578111138357169
Wnt7b,-6.943810777149081,-9.78276717390725,-6.492644420242618,-11.50093564375452,-10.011637432537201,-10.539064419465758,16.171164912387596,-11.718394034396074,-9.97820309554378,-8.27916967125873,1.6336416419627267,-3.355507093436271,-11.38501595333364,3.151990864970999,1.5517080990725591,7.9470239386840325,-11.418823032844863,4.665999151358045,-10.653179526396258,-12.773998283239731,-1.3744548527556126,-3.3937886624199574,0.0,1.062545696670863,-10.000413730139318,-9.816534414615154,8.737716377066313,-9.869643536660352,4.6038091136604,-8.211420139193157,16.297534364650826
Fcer2a,1.8921187041214782,0.8707854123711029,1.0734885095349391,-10.00399066622687,-2.495726377004991,-10.554107085536565,8.499732335336668,-9.572714248390461,-4.133035488627736,-0.965166998894138,6.793926024128957,4.489235980443794,-7.470426284798551,-4.827767074898706,-3.082859415886355,8.954616165703042,-9.768971167709475,-2.2151189737701382,-3.7404210152627932,-9.819817149938999,8.965783676473103,-6.6287077607832705,1.062545696670863,0.0,-8.479064326000767,3.2504027545873146,0.22165628243479302,-2.313895582244897,12.892800601920415,-0.0008209390425519724,4.549539666079967
Rpa2,-10.326604677302512,-7.327591275826378,-9.292915663803683,28.794128754593817,10.693616860132193,29.255478070215972,-12.165288842092979,28.422060705704013,4.031367022942472,6.661966938234895,-13.856570990991786,11.48283377676598,27.16036175651258,-5.433071022459328,-7.3312860947838665,-20.11869313790578,25.954467223482695,-6.949051706600796,2.8213413304743535,26.73774818915064,-16.08702525181125,15.21443006348975,-10.000413730139318,-8.479064326000767,0.0,0.6118226388399944,-9.450236947925568,6.029159669310525,-17.085707587217584,21.652240087803328,4.541134371965027
Cd274,1.9096766789759472,3.0314451681245984,-2.679202734487124,1.4758476082941203,-1.1494386146553013,0.9964514356944688,-3.3679522601143805,0.5577122754014252,-2.716838862665913,7.841221843373202,-1.543412010869589,1.5451654207463348,0.7036992780878196,2.475672710798615,3.947354597058546,-3.3567500077894863,1.2718208430012334,1.84216817309041,1.5970711733092702,0.9276678452207611,2.296025141874339,-10.10488978724177,-9.816534414615154,3.2504027545873146,0.6118226388399944,0.0,-4.628409270687233,11.074690502697695,-0.09398782780196517,1.9764307291459746,-3.5897191713261796
Mrc1,-9.124320988572968,-14.059661672958697,-12.148828692504312,-13.819880817413418,-17.065434290191245,-13.88698371246905,18.972411986675624,-13.815679539790498,-17.03558683449928,-0.2452339393198614,-10.468935965356833,-1.5030109034451755,-15.503451461093196,24.113005879786645,24.234482749698763,0.4376770204699659,-12.667717234173077,25.330492089548734,-11.133192414242261,-12.066475776674649,-6.2228640864462665,-6.809808882409831,8.737716377066313,0.22165628243479302,-9.450236947925568,-4.628409270687233,0.0,1.194203543600217,-3.665272021843992,2.534687979291592,6.011189590672954
Cdh1,-10.43240157426404,-8.043651117099758,-13.481196288100612,5.345438453070298,-0.02974390168875663,5.183147718528117,-3.0345555954328165,5.835051978318288,0.38773685436073024,19.448122220557945,-11.575090444915901,11.394831569454519,3.8139245683479537,10.196700365476966,11.059458819442208,-11.457512305901478,5.064736119115587,8.957690908260837,-3.150406607164093,4.631815309890358,-12.61474206048558,-3.1036596140736785,-9.869643536660352,-2.313895582244897,6.029159669310525,11.074690502697695,1.194203543600217,0.0,-13.97710758848183,8.298158305294999,-2.5244335979439994
Snai1,16.307756591387623,14.06950749336669,11.87921670230479,-15.734841014988785,-4.219546817979413,-15.814376435355832,3.7141102771551475,-15.303096524875755,-2.192137160915006,-8.7305994490993,19.95883489194897,-9.290697721925651,-14.358332954282547,-9.713299912248441,-7.816758405813122,21.39310785367206,-13.928993509951917,-8.150809749494794,-1.731642086886861,-14.08663294819264,18.251327566234334,-12.222188143779894,4.6038091136604,12.892800601920415,-17.085707587217584,-0.09398782780196517,-3.665272021843992,-13.97710758848183,0.0,-15.630592047110877,-1.0270567548342326
Ung,-9.245271153861687,-11.211851624628197,-11.48860636924061,14.716776334844013,-4.143941431531234,14.958497218643757,-5.265199111166777,14.143474867605454,-6.936406374877466,8.408065131830556,-17.479246061706778,11.134896911584875,12.242667637079578,6.739459854404397,6.091068121133195,-14.498068581731916,11.11273358336415,5.323179728688296,-5.141516976421012,13.015820806617823,-13.147469076372744,7.079685158680324,-8.211420139193157,-0.0008209390425519724,21.652240087803328,1.9764307291459746,2.534687979291592,8.298158305294999,-15.630592047110877,0.0,6.453903856948731
Inava,-12.12677190705154,-13.493201829608836,-11.40300693564875,0.08818443498648558,-9.288045082957085,1.5672922894353383,14.182188641265958,0.9898328706260427,-15.573562197821266,0.10418035019985569,-10.465685191309348,11.239290857124297,-1.8539790089347432,3.0372892491303185,2.0326534227749344,-2.5968439200629105,-1.7615185454109032,5.2975501250069605,-8.125259556633136,-1.2004836956599614,-7.4844179458747755,-2.578111138357169,16.297534364650826,4.549539666079967,4.541134371965027,-3.5897191713261796,6.011189590672954,-2.5244335979439994,-1.0270567548342326,6.453903856948731,0.0
